Employee_ID,Age,Gender,Education,Department,Experience,City,Company_Size,Job_Role,Performance_Rating,Overtime,Remote_Work,Working_Hours,Projects,Certification,Leadership_Score,Skill_Score,Annual_Salary
1,59,Male,Master,IT,6,Nashik,Small,Analyst,5,Yes,Yes,60,3,Yes,44.0,91.0,1481815
2,23,Female,Master,IT,10,Mumbai,Small,Analyst,5,Yes,Yes,56,5,Yes,,50.0,1601342
3,41,Female,Master,HR,1,Nagpur,Large,Manager,4,Yes,Yes,35,10,No,59.0,63.0,1014029
4,48,Female,Bachelor,HR,11,Pune,Medium,Developer,1,Yes,No,50,3,Yes,88.0,64.0,1325986
5,27,Female,Bachelor,Marketing,11,Nashik,Small,Tester,4,Yes,No,55,9,Yes,93.0,,1676247
6,34,Female,Master,Marketing,6,Nashik,Large,Analyst,4,Yes,Yes,52,10,Yes,89.0,57.0,1323120
7,27,Male,Bachelor,HR,8,Mumbai,Medium,Manager,5,No,No,46,8,Yes,31.0,65.0,1208363
8,24,Female,Bachelor,HR,14,Nashik,Large,Developer,1,Yes,Yes,36,6,Yes,65.0,74.0,1671682
9,30,Female,Bachelor,Finance,9,Pune,Large,Manager,5,Yes,Yes,38,8,Yes,92.0,43.0,1295897
10,41,Female,Bachelor,Finance,13,Mumbai,Small,Manager,4,Yes,No,50,2,No,91.0,62.0,1650571
11,35,Female,Master,HR,14,Nashik,Small,Analyst,2,No,No,47,1,No,89.0,92.0,1721055
12,44,Male,Bachelor,HR,6,Nagpur,Small,Developer,1,Yes,Yes,45,3,Yes,37.0,48.0,988254
13,27,Female,Master,Marketing,16,Mumbai,Medium,Tester,3,No,No,43,8,Yes,64.0,47.0,1656862
14,43,Male,Master,Marketing,11,Nashik,Large,Manager,1,Yes,No,58,5,No,77.0,73.0,1512763
15,34,Female,Diploma,IT,2,Nashik,Large,Analyst,3,Yes,No,37,1,Yes,64.0,83.0,784973
16,35,Female,Diploma,HR,4,Mumbai,Large,Manager,3,No,Yes,49,10,Yes,38.0,65.0,850935
17,52,Female,Bachelor,HR,9,Mumbai,Small,Developer,5,Yes,No,38,5,Yes,80.0,99.0,1522963
18,56,Male,Master,HR,6,Nagpur,Large,Analyst,3,No,No,47,7,Yes,58.0,,1339079
19,26,Male,Master,Finance,18,Nagpur,Large,Manager,4,No,No,46,4,Yes,95.0,61.0,1839142
20,53,Male,Diploma,IT,10,Nashik,Small,Analyst,4,Yes,Yes,35,9,Yes,91.0,97.0,1465910
21,29,Male,Master,HR,19,Mumbai,Small,Manager,1,Yes,Yes,39,1,No,32.0,,1786409
22,35,Female,Master,HR,18,Pune,Large,Tester,4,Yes,No,56,8,No,53.0,81.0,1954733
23,57,Male,Diploma,IT,8,Nagpur,Medium,Tester,1,No,No,51,8,Yes,,91.0,1179015
24,22,Male,Master,IT,16,Nagpur,Large,Manager,1,Yes,Yes,56,7,Yes,31.0,98.0,1684619
25,46,Female,Diploma,HR,4,Nagpur,Small,Manager,1,No,Yes,40,7,Yes,30.0,71.0,763023
26,37,Male,Bachelor,IT,3,,Small,Analyst,3,Yes,No,40,8,No,85.0,94.0,1109780
27,36,Male,Bachelor,Sales,4,Mumbai,Small,Tester,2,Yes,No,35,9,No,99.0,91.0,1269944
28,40,Female,Bachelor,Sales,5,Nagpur,Small,Analyst,5,No,Yes,38,3,Yes,32.0,55.0,1036843
29,59,Male,Master,Finance,2,Mumbai,Small,Tester,4,Yes,Yes,52,8,Yes,100.0,58.0,1194906
30,45,Male,Diploma,Marketing,0,Mumbai,Large,Analyst,4,No,Yes,52,7,Yes,,50.0,625824
31,22,Male,Master,Marketing,9,Mumbai,Medium,Manager,4,No,Yes,35,5,No,45.0,74.0,1501696
32,55,Female,Diploma,Sales,4,Pune,Large,Manager,3,No,No,53,3,Yes,38.0,71.0,985571
33,55,Female,Diploma,Marketing,19,Mumbai,Small,Analyst,1,No,Yes,50,9,No,53.0,63.0,1613743
34,38,Male,Diploma,Finance,2,,Small,Tester,5,No,Yes,36,6,No,47.0,64.0,914714
35,28,Male,Master,HR,2,Nashik,Small,Developer,5,Yes,No,41,3,No,70.0,55.0,1018594
36,42,Male,Master,Finance,16,Pune,Large,Manager,4,No,No,57,6,Yes,88.0,72.0,1887976
37,54,Female,Diploma,Finance,13,Mumbai,Small,Manager,5,Yes,No,55,1,Yes,80.0,69.0,1468135
38,39,Female,Master,Marketing,14,Nagpur,Large,Developer,5,Yes,Yes,38,3,Yes,90.0,72.0,1889174
39,51,Male,Master,Finance,16,Pune,Medium,Analyst,4,Yes,No,37,1,No,59.0,56.0,1772569
40,43,Female,Diploma,HR,19,Pune,Large,Developer,5,No,No,35,3,Yes,61.0,100.0,1900727
41,44,Male,Diploma,HR,17,Nagpur,Small,Analyst,2,No,No,52,6,Yes,83.0,64.0,1590905
42,46,Male,Bachelor,IT,1,Nagpur,Small,Tester,2,Yes,Yes,51,8,No,31.0,66.0,961534
43,46,Female,Bachelor,HR,0,Pune,Small,Analyst,3,No,No,37,2,No,,48.0,653348
44,56,Female,Diploma,Finance,12,Nagpur,Large,Manager,2,Yes,Yes,47,4,No,36.0,99.0,1397417
45,43,Female,Diploma,IT,0,Mumbai,Large,Tester,4,No,No,56,3,No,44.0,47.0,562173
46,35,Male,Master,Sales,16,Pune,Medium,Developer,2,No,Yes,56,5,Yes,,91.0,1903554
47,24,Female,Bachelor,IT,0,Nashik,Large,Manager,5,Yes,No,40,4,No,89.0,47.0,915466
48,33,Female,Master,Finance,14,Nagpur,Large,Manager,4,Yes,Yes,52,10,No,45.0,74.0,1631830
49,21,Female,Master,HR,18,Nashik,Medium,Developer,3,No,No,49,2,Yes,87.0,56.0,1832754
50,36,Female,Bachelor,Sales,15,Nagpur,Medium,Analyst,5,No,Yes,41,5,Yes,30.0,64.0,1733904
51,50,Female,Bachelor,IT,2,Pune,Large,Manager,2,Yes,Yes,48,4,Yes,45.0,51.0,777099
52,41,Male,Diploma,HR,4,Nagpur,Large,Developer,2,No,No,41,4,Yes,77.0,51.0,808427
53,30,Female,Master,Sales,0,Nagpur,Small,Analyst,5,Yes,Yes,60,3,No,52.0,69.0,1028048
54,36,Male,Diploma,Marketing,0,Nagpur,Small,Analyst,5,Yes,No,58,7,Yes,33.0,95.0,871468
55,55,Female,Bachelor,Sales,1,Nagpur,Large,Tester,4,Yes,No,35,1,No,61.0,88.0,1022581
56,23,Male,Bachelor,Finance,18,Nagpur,Large,Analyst,5,No,No,35,1,Yes,41.0,82.0,1892470
57,22,Female,Master,HR,7,Nashik,Medium,Manager,3,Yes,Yes,53,2,Yes,73.0,49.0,1224853
58,49,Female,Diploma,HR,2,,Small,Tester,1,No,No,60,10,No,37.0,62.0,627549
59,31,Male,Bachelor,HR,1,Nagpur,Medium,Developer,1,No,No,58,4,Yes,36.0,90.0,922561
60,30,Female,Bachelor,Sales,20,Nagpur,Large,Analyst,1,No,Yes,39,9,No,65.0,100.0,1872067
61,44,Female,Bachelor,IT,2,Nagpur,Medium,Tester,3,Yes,No,57,5,Yes,65.0,88.0,1141713
62,45,Male,Master,Sales,11,Mumbai,Small,Tester,5,Yes,No,37,9,Yes,52.0,88.0,1632674
63,32,Female,Diploma,Sales,16,Nashik,Small,Tester,4,No,No,43,3,No,42.0,88.0,1565862
64,39,Female,Bachelor,Finance,11,Mumbai,Medium,Developer,4,Yes,No,60,5,Yes,81.0,48.0,1451817
65,43,Male,Master,IT,4,Mumbai,Small,Analyst,4,Yes,Yes,50,9,Yes,54.0,74.0,1131747
66,59,Female,Diploma,IT,6,Pune,Medium,Manager,5,No,Yes,48,10,Yes,71.0,84.0,1164045
67,58,Female,Diploma,IT,4,Mumbai,Medium,Tester,5,No,Yes,41,8,Yes,47.0,74.0,973705
68,22,Male,Master,IT,9,Nashik,Large,Developer,2,Yes,No,39,5,No,56.0,48.0,1342618
69,27,Female,Master,IT,5,Nashik,Small,Tester,5,No,Yes,59,4,No,94.0,58.0,1297610
70,39,Female,Bachelor,HR,3,Nagpur,Small,Manager,4,No,No,46,6,No,,,976675
